Numero_Cliente,Familia_Comercial,Cadena_Comercial,Rama,Tipo,Mov,MovId,SKU,Articulo,lll,Propiedades,Cantidad,UM,CantidadSecundaria,UMSecundaria,FactorLitros,Precio,SubTotal,DescuentoLineal,IVA,IEPS,IEPS_Cuota,ImporteTotal,Costo_Unitario,Costo_Total,CostoProduccionUnitario,CostoProduccion,Sucursal,FechaEmision,FechaRequerida,Almacen
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM20,10234,RM00010234,---,---,2625,PZA,0,,0,6.2255,16341.9375,0,2614.7066,0,0,18956.6441,2.8035,7359.1875,3.3414,8771.175,60,44240,44237,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM20,10547,RM00010547,---,---,1092,PZA,0,,0,1.5963,1743.1596,0,278.902,0,0,2022.0616,1.1753,1283.4276,0,0,60,44240,44237,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM21,10839,RM00010839,---,---,640,PZA,0,,0,46,29440,0,4710.4,0,0,34150.4,30.1937,19323.968,27.0878,17336.192,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM22,10234,RM00010234,---,---,3500,PZA,0,,0,5.3,18550,0,2968,0,0,21518,2.8033,9811.55,3.3414,11694.9,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM22,10473,RM00010473,---,---,28800,PZA,0,,0,0.64,18432,0,2949.12,0,0,21381.12,0.3821,11004.48,0,0,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM22,10650,RM00010650,---,---,32000,PZA,32,MILL,0,0.079,2528,0,404.48,0,0,2932.48,0.095,3040,0.11,3520,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM22,10283,RM00010283,---,---,6000,PZA,6,MILL,0,0.6,3600,0,576,0,0,4176,0.2671,1602.45,0.1676,1005.6,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM22,10234,RM00010234,---,---,245,PZA,0,,0,5.3,1298.5,0,207.76,0,0,1506.26,2.8033,686.8085,3.3414,818.643,60,44240,44236,REM12
818,OTROS,OTROS,CLNA,Cliente,Factura,FREM23,10224,RM00010224,---,---,16752,PZA,0,,0,6.31,105705.12,0,16912.8192,0,0,122617.9392,1.1242,18832.5984,3.2788,54926.4576,60,44240,44236,REM12
818,OTROS,OTROS,CLNA,Cliente,Factura,FREM23,10283,RM00010283,---,---,16000,PZA,16,MILL,0,0.6923,11076.32,0,1772.2112,0,0,12848.5312,0.2671,4273.2,0.1676,2681.6,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM16,10427,RM00010427,---,---,4802,PZA,0,,0,1.02,4898.04,0,783.6864,0,0,5681.7264,0.9399,4513.3998,0,0,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM16,10210,RM00010210,---,---,5460,PZA,0,,0,1.21,6606.6,0,1057.056,0,0,7663.656,0.6333,3457.818,0.6764,3693.144,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM16,10473,RM00010473,---,---,14400,PZA,0,,0,0.64,9216,0,1474.56,0,0,10690.56,0.3821,5502.24,0,0,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM16,10234,RM00010234,---,---,3500,PZA,0,,0,5.3,18550,0,2968,0,0,21518,4.4239,15483.65,3.3414,11694.9,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM16,10640,RM00010640,---,---,6000,PZA,6,MILL,0,0.4586,2751.6,0,440.256,0,0,3191.856,0.4179,2507.4,0,0,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM16,10650,RM00010650,---,---,24000,PZA,24,MILL,0,0.079,1896,0,303.36,0,0,2199.36,0.095,2280,0.11,2640,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM16,10283,RM00010283,---,---,4000,PZA,4,MILL,0,0.6,2400,0,384,0,0,2784,0.2671,1068.3,0.1676,670.4,60,44240,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM17,574,RM00000574,---,---,1,SR,0,,0,16000,16000,0,2560,0,0,18560,0,0,0,0,60,44240,44240,REM04
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM25,10427,RM00010427,---,---,9800,PZA,0,,0,1.02,9996,0,1599.36,0,0,11595.36,0.9415,9226.7,0,0,60,44242,44257,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM25,10650,RM00010650,---,---,16000,PZA,16,MILL,0,0.079,1264,0,202.24,0,0,1466.24,0.095,1520,0.11,1760,60,44242,44257,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM25,10115,RM00010115,---,---,200,PZA,0,,0,46,9200,0,1472,0,0,10672,30.3472,6069.44,26.5127,5302.54,60,44242,44257,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM25,10268,RM00010268,---,---,200000,PZA,200,MILL,0,0.4649,92988,0,14878.08,0,0,107866.08,0.4232,84648.12,0.3092,61840,60,44242,44257,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM25,10268,RM00010268,---,---,124000,PZA,124,MILL,0,0.4649,57652.56,0,9224.4096,0,0,66876.9696,0.4232,52481.8344,0.3092,38340.8,60,44242,44257,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM25,10839,RM00010839,---,---,1352,PZA,0,,0,46,62192,0,9950.72,0,0,72142.72,30.1937,40821.8824,27.0878,36622.7056,60,44242,44257,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM26,574,RM00000574,---,---,1,SR,0,,0,16000,16000,0,2560,0,0,18560,0,0,0,0,60,44242,44242,REM04
518,HOTELES,HOTELES,CLNA,Cliente,Factura PUE,PREM3,10473,RM00010473,---,---,43200,PZA,0,,0,0.68,29376,0,4700.16,0,0,34076.16,0.3821,16506.72,0,0,60,44242,44236,REM12
901,OTROS,OTROS,CLNA,Cliente,Factura,FREM28,10115,RM00010115,---,---,1500,PZA,0,,0,47.4,71100,0,11376,0,0,82476,30.3472,45520.8,26.5127,39769.05,60,44242,44253,REM12
806,OTROS,OTROS,CLNA,Cliente,Factura,FREM24,10613,RM00010613,---,---,21450,PZA,21.45,MILL,0,0.748,16044.6,0,2567.136,0,0,18611.736,0.2945,6317.6127,0,0,60,44242,44236,REM12
850,OTROS,OTROS,CLNA,Cliente,Factura,FREM27,10173,RM00010173,---,---,90000,PZA,90,MILL,0,0.1455,13095,0,2095.2,0,0,15190.2,0.099,8908.47,0.0614,5526,60,44242,44238,REM12
826,OTROS,OTROS,CLNA,Cliente,Factura PUE,PREM2,10115,RM00010115,---,---,1000,PZA,0,,0,47.4,47400,0,7584,0,0,54984,30.3472,30347.2,26.5127,26512.7,60,44242,44238,REM12
844,OTROS,SINGRUPOCOMERCIAL,CLNA,Cliente,Factura,FREM31,10473,RM00010473,---,---,14400,PZA,0,,0,0.64,9216,0,1474.56,0,0,10690.56,0.3821,5502.24,0,0,60,44243,44254,REM12
844,OTROS,SINGRUPOCOMERCIAL,CLNA,Cliente,Factura,FREM31,10427,RM00010427,---,---,51744,PZA,0,,0,1.06,54848.64,0,8775.7824,0,0,63624.4224,0.9415,48716.976,0,0,60,44243,44254,REM12
844,OTROS,SINGRUPOCOMERCIAL,CLNA,Cliente,Factura,FREM31,10650,RM00010650,---,---,72000,PZA,72,MILL,0,0.11,7920,0,1267.2,0,0,9187.2,0.095,6840,0.11,7920,60,44243,44254,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM29,10201,RM00010201,---,---,10000,PZA,10,MILL,0,0.725,7250.271,0,1160.0434,0,0,8410.3144,0.4731,4731.3209,0.248,2480,60,44243,44254,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM29,10861,RM00010861,---,---,8435,PZA,0,,0,5.5016,46405.996,0,7424.9355,0,0,53830.9315,3.5273,29752.7755,0,0,60,44243,44254,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM30,574,RM00000574,---,---,1,SR,0,,0,1100,1100,0,176,0,0,1276,0,0,0,0,60,44243,44243,REM04
903,OTROS,OTROS,CLNA,Cliente,Factura,FREM35,10427,RM00010427,---,---,14700,PZA,0,,0,1.06,15582,0,2493.12,0,0,18075.12,0.9415,13840.05,0,0,60,44244,44254,REM12
903,OTROS,OTROS,CLNA,Cliente,Factura,FREM35,10473,RM00010473,---,---,10656,PZA,0,,0,0.68,7246.08,0,1159.3728,0,0,8405.4528,0.3821,4071.6576,0,0,60,44244,44254,REM12
914,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM12,10176,RM00010176,---,---,200000,PZA,200,MILL,0,0.168,33600,0,0,0,0,33600,0.084,16798.12,0.0548,10960,60,44244,44260,REM12
903,OTROS,OTROS,CLNA,Cliente,Factura,FREM33,10234,RM00010234,---,---,9975,PZA,0,,0,6.2,61845,0,9895.2,0,0,71740.2,2.8229,28158.4275,3.3414,33330.465,60,44244,44244,REM12
903,OTROS,OTROS,CLNA,Cliente,Factura,FREM33,10283,RM00010283,---,---,10000,PZA,10,MILL,0,0.748,7480,0,1196.8,0,0,8676.8,0.2564,2564.329,0.1676,1676,60,44244,44244,REM12
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM32,10224,RM00010224,---,---,5616,PZA,0,,0,5.72,32123.52,0,5139.7632,0,0,37263.2832,2.8032,15742.7712,3.2788,18413.7408,60,44244,44236,REM12
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM32,10283,RM00010283,---,---,4000,PZA,4,MILL,0,0.6401,2560.4,0,409.664,0,0,2970.064,0.2564,1025.7316,0.1676,670.4,60,44244,44236,REM12
850,OTROS,OTROS,CLNA,Cliente,Devolucion Venta,DREM1,10173,RM00010173,---,---,-90000,PZA,-90,MILL,0,0.09,-8100,0,-1296,0,0,-9396,-0.099,-8908.47,0.0614,-5526,60,44244,44244,REM04
835,OTROS,OTROS,CLNA,Cliente,Bonificacion Venta,BREM1,10839,RM00010839,---,---,0,PZA,0,,0,42.61,-7371.53,0,-1179.4448,0,0,-8550.9748,0,0,27.0878,0,60,44244,44244,REM04
914,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM11,10013,RM00010013,---,---,200000,PZA,0,,0,1.05,210000,0,0,0,0,210000,0.5619,112380,0.5799,115980,60,44244,44243,REM12
884,OTROS,OTROS,CLNA,Cliente,Factura,FREM36,10045,RM00010045,---,---,900,PZA,0,,0,1.62,1458,0,233.28,0,0,1691.28,0.9049,814.41,0.9007,810.63,60,44245,44236,REM12
884,OTROS,OTROS,CLNA,Cliente,Factura,FREM36,10283,RM00010283,---,---,4000,PZA,4,MILL,0,0.748,2992,0,478.72,0,0,3470.72,0.2564,1025.7316,0.1676,670.4,60,44245,44236,REM12
884,OTROS,OTROS,CLNA,Cliente,Factura,FREM36,10224,RM00010224,---,---,3504,PZA,0,,0,6.35,22250.4,0,3560.064,0,0,25810.464,2.8032,9822.4128,3.2788,11488.9152,60,44245,44236,REM12
884,OTROS,OTROS,CLNA,Cliente,Factura,FREM36,10045,RM00010045,---,---,17100,PZA,0,,0,1.62,27702,0,4432.32,0,0,32134.32,0.9049,15473.79,0.9007,15401.97,60,44245,44236,REM12
884,OTROS,OTROS,CLNA,Cliente,Factura,FREM37,10224,RM00010224,---,---,3264,PZA,0,,0,6.35,20726.4,0,3316.224,0,0,24042.624,2.8032,9149.6448,3.2788,10702.0032,60,44245,44260,REM12
884,OTROS,OTROS,CLNA,Cliente,Factura,FREM37,10283,RM00010283,---,---,4000,PZA,4,MILL,0,0.748,2992,0,478.72,0,0,3470.72,0.2564,1025.7316,0.1676,670.4,60,44245,44260,REM12
884,OTROS,OTROS,CLNA,Cliente,Factura,FREM37,10224,RM00010224,---,---,240,PZA,0,,0,6.35,1524,0,243.84,0,0,1767.84,2.8032,672.768,3.2788,786.912,60,44245,44260,REM12
884,OTROS,OTROS,CLNA,Cliente,Factura,FREM37,10224,RM00010224,---,---,48,PZA,0,,0,6.35,304.8,0,48.768,0,0,353.568,2.8032,134.5536,3.2788,157.3824,60,44245,44260,REM12
838,OTROS,OTROS,CLNA,Cliente,Factura,FREM38,10234,RM00010234,---,---,525,PZA,0,,0,5.21,2735.25,0,437.64,0,0,3172.89,2.8965,1520.6625,3.3414,1754.235,60,44245,44263,REM12
838,OTROS,OTROS,CLNA,Cliente,Factura,FREM38,10013,RM00010013,---,---,8320,PZA,0,,0,1.04,8652.8,0,1384.448,0,0,10037.248,0.5619,4675.008,0.5799,4824.768,60,44245,44263,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM42,10839,RM00010839,---,---,1008,PZA,0,,0,46,46368,0,7418.88,0,0,53786.88,32.1361,32393.1888,27.0878,27304.5024,60,44246,44263,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM42,10839,RM00010839,---,---,92,PZA,0,,0,46,4232,0,677.12,0,0,4909.12,32.1361,2956.5212,27.0878,2492.0776,60,44246,44263,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM43,574,RM00000574,---,---,1,SR,0,,0,16000,16000,0,2560,0,0,18560,0,0,0,0,60,44246,44246,REM04
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM39,574,RM00000574,---,---,1,SR,0,,0,1100,1100,0,176,0,0,1276,0,0,0,0,60,44246,44246,REM04
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM41,10224,RM00010224,---,---,5232,PZA,0,,0,5.72,29927.04,0,4788.3264,0,0,34715.3664,3.2244,16870.0608,3.2788,17154.6816,60,44246,44236,REM12
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM41,10283,RM00010283,---,---,16000,PZA,16,MILL,0,0.6401,10241.6,0,1638.656,0,0,11880.256,0.2564,4102.9264,0.1676,2681.6,60,44246,44236,REM12
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM41,10283,RM00010283,---,---,8000,PZA,8,MILL,0,0.6401,5120.8,0,819.328,0,0,5940.128,0.2564,2051.4632,0.1676,1340.8,60,44246,44236,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM42,10210,RM00010210,---,---,10920,PZA,0,,0,1.21,13213.2,0,2114.112,0,0,15327.312,0.6025,6579.3,0.6764,7386.288,60,44246,44263,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM42,10640,RM00010640,---,---,12000,PZA,12,MILL,0,0.4586,5503.2,0,880.512,0,0,6383.712,0.4179,5014.8,0,0,60,44246,44263,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM42,10234,RM00010234,---,---,3500,PZA,0,,0,5.3,18550,0,2968,0,0,21518,2.8965,10137.75,3.3414,11694.9,60,44246,44263,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM42,10473,RM00010473,---,---,32688,PZA,0,,0,0.64,20920.32,0,3347.2512,0,0,24267.5712,0.3818,12480.2784,0,0,60,44246,44263,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM42,10650,RM00010650,---,---,16000,PZA,16,MILL,0,0.079,1264,0,202.24,0,0,1466.24,0.095,1520,0.11,1760,60,44246,44263,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM42,10283,RM00010283,---,---,4000,PZA,4,MILL,0,0.6,2400,0,384,0,0,2784,0.2564,1025.7316,0.1676,670.4,60,44246,44263,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM42,10268,RM00010268,---,---,64000,PZA,64,MILL,0,0.4649,29756.16,0,4760.9856,0,0,34517.1456,0.4033,25811.9552,0.3092,19788.8,60,44246,44263,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM40,10855,RM00010855,---,---,770,PZA,0,,0,6.6745,5139.365,0,822.2961,0,0,5961.6611,3.491,2688.07,0,0,60,44246,44264,REM12
838,OTROS,OTROS,CLNA,Cliente,Factura,FREM44,10234,RM00010234,---,---,1610,PZA,0,,0,5.21,8388.1,0,1342.096,0,0,9730.196,2.8965,4663.365,3.3414,5379.654,60,44249,44263,REM12
838,OTROS,OTROS,CLNA,Cliente,Factura,FREM45,10234,RM00010234,---,---,4410,PZA,0,,0,5.21,22976.1,0,3676.176,0,0,26652.276,3.9253,17310.573,3.3414,14735.574,60,44249,44266,REM12
903,OTROS,OTROS,CLNA,Cliente,Factura,FREM46,10473,RM00010473,---,---,43200,PZA,0,,0,0.68,29376,0,4700.16,0,0,34076.16,0.3821,16506.72,0,0,60,44249,44254,REM12
903,OTROS,OTROS,CLNA,Cliente,Factura,FREM46,10650,RM00010650,---,---,48000,PZA,48,MILL,0,0.11,5280,0,844.8,0,0,6124.8,0.095,4560,0.11,5280,60,44249,44254,REM12
903,OTROS,OTROS,CLNA,Cliente,Factura,FREM46,10473,RM00010473,---,---,1584,PZA,0,,0,0.68,1077.12,0,172.3392,0,0,1249.4592,0.3821,605.2464,0,0,60,44249,44254,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM47,10846,RM00010846,---,---,7553,PZA,0,,0,5.0239,37945.5167,0,6071.2358,0,0,44016.7525,2.5875,19543.3875,0,0,60,44250,44254,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM48,10201,RM00010201,---,---,7000,PZA,7,MILL,0,0.7417,5192.1401,0,830.7424,0,0,6022.8825,0.4731,3311.9192,0.248,1736,60,44250,44267,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM48,10861,RM00010861,---,---,6510,PZA,0,,0,5.6284,36640.884,0,5862.498,0,0,42503.382,3.6331,23651.481,0,0,60,44250,44267,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM49,574,RM00000574,---,---,1,SR,0,,0,1100,1100,0,176,0,0,1276,0,0,0,0,60,44250,44250,REM04
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM50,10015,RM00010015,---,---,2090,PZA,0,,0,1.29,2696.1,0,431.376,0,0,3127.476,0.5103,1066.527,0.6665,1392.985,60,44250,44264,REM12
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM50,10173,RM00010173,---,---,5000,PZA,5,MILL,0,0.1848,924,0,147.84,0,0,1071.84,0.0746,372.906,0.0614,307,60,44250,44264,REM12
833,OTROS,OTROS,CLNA,Cliente,Factura,FREM50,10224,RM00010224,---,---,5568,PZA,0,,0,5.72,31848.96,0,5095.8336,0,0,36944.7936,3.8825,21617.76,3.2788,18256.3584,60,44250,44264,REM12
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM13,10176,RM00010176,---,---,60000,PZA,60,MILL,0,0.1475,8851.8,0,0,0,0,8851.8,0.084,5039.436,0.0548,3288,60,44250,44260,REM12
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM13,10807,RM00010807,---,---,3000,PZA,3,MILL,0,0.3626,1087.65,0,0,0,0,1087.65,0.2688,806.3421,0.1695,508.5,60,44250,44260,REM12
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM13,10288,RM00010288,---,---,3000,PZA,3,MILL,0,0.3626,1087.65,0,0,0,0,1087.65,0.2114,634.1817,0.1579,473.7,60,44250,44260,REM12
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM13,10290,RM00010290,---,---,3000,PZA,3,MILL,0,0.3626,1087.65,0,0,0,0,1087.65,0.1994,598.2864,0,0,60,44250,44260,REM12
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM13,10283,RM00010283,---,---,8000,PZA,8,MILL,0,0.6847,5477.68,0,0,0,0,5477.68,0.2564,2051.4632,0.1676,1340.8,60,44250,44260,REM12
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM14,10207,RM00010207,---,---,18200,PZA,0,,0,1.53,27846,0,0,0,0,27846,1.1207,20396.74,0,0,60,44250,44239,REM12
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM14,10207,RM00010207,---,---,5460,PZA,0,,0,1.53,8353.8,0,0,0,0,8353.8,1.1207,6119.022,0,0,60,44250,44239,REM12
915,OTROS,EXPORTACION,CLME,Cliente,Factura Com.Ext33,FCREM14,10207,RM00010207,---,---,4550,PZA,0,,0,1.53,6961.5,0,0,0,0,6961.5,1.1207,5099.185,0,0,60,44250,44239,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM55,574,RM00000574,---,---,1,SR,0,,0,1100,1100,0,176,0,0,1276,0,0,0,0,60,44251,44251,REM04
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM54,10861,RM00010861,---,---,1470,PZA,0,,0,5.6989,8377.383,0,1340.3906,0,0,9717.7736,4.2659,6270.873,0,0,60,44251,44251,REM12
835,OTROS,OTROS,CLNA,Cliente,Factura,FREM52,574,RM00000574,---,---,1,SR,0,,0,16000,16000,0,2560,0,0,18560,0,0,0,0,60,44251,44251,REM04
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM53,10861,RM00010861,---,---,1575,PZA,0,,0,5.6989,8975.7675,0,1436.1327,0,0,10411.9002,4.2659,6718.7925,0,0,60,44251,44254,REM12
581,OTROS,OTROS,INTERCOMPA,Intercompañia,Factura,FREM53,10708,RM00010708,---,---,16860,PZA,0,,0,5.5004,92736.744,0,14837.954,0,0,107574.698,4.3466,73283.676,2.8382,47852.052,60,44251,44254,REM12
